"","acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"992",7.44,0.28,2,0.082,68,0.9969,3.45,0.48,9.4,5
"993",6.9,0.1,2,0.076,47,0.9955,3.36,0.48,9.4,6
"994",7.44,0.28,2,0.082,68,0.9969,3.45,0.48,9.4,5
"995",10.35,0.45,2.5,0.092,88,0.9992,3.15,0.43,9.4,5
"996",8.3,0.06,2,0.079,41,0.997,3.39,0.62,10.1,6
"999",9.74,0.34,1.4,0.05,10,0.9955,3.12,0.48,9.1,6
"1001",7.93,0.3,2.2,0.062,12,0.995,3.44,0.72,11.5,7
"1002",10.25,0.38,1.5,0.058,47,0.9968,3.26,0.82,10.6,7
"1003",9.39,0.33,2.05,0.063,27,0.9952,3.26,0.84,11.7,7
"1004",7.16,0.32,1.8,0.067,8,0.9928,3.36,0.55,12.8,7
"1005",8.63,0.29,1.6,0.081,45,0.996,3.25,0.54,10.3,5
"1006",7.16,0.32,1.8,0.067,8,0.9928,3.36,0.55,12.8,7
"1007",9.39,0.33,2.05,0.063,27,0.9952,3.26,0.84,11.7,7
"1008",9.4,0.34,2,0.064,25,0.9952,3.26,0.84,11.7,7
"1009",9.25,0.4,3.6,0.11,24,0.9955,3.23,0.7,12,7
"1010",10.1,0.36,2.8,0.116,55,0.9972,3.18,0.68,10.9,5
"1011",9.18,0.45,1.7,0.067,12,0.9935,3.25,0.55,12.3,7
"1012",9.22,0.31,2,0.088,19,0.9957,3.17,0.55,10.4,6
"1013",8.7,0.15,2.1,0.102,32,0.996,3.23,0.48,10,5
"1014",8.21,0,1.6,0.092,31,0.9964,3.38,0.58,10,6
"1016",10.89,0.46,2.2,0.075,27,0.996,3.06,0.84,11.4,6
"1017",9.28,0.4,2.2,0.068,28,0.9949,3.27,0.75,12.6,7
"1020",7.5,0.14,1.8,0.078,23,0.9964,3.53,0.61,10.4,5
"1023",7.51,0.09,2.1,0.062,9,0.9958,3.35,0.54,10.5,5
"1024",8.52,0.42,2.3,0.098,9,0.9951,3.27,0.55,12.3,6
"1025",8.28,0.01,1.8,0.088,18,0.9957,3.32,0.56,10.5,7
"1026",9.43,0,2.8,0.095,43,0.9982,3.33,0.6,10.4,6
"1027",8.21,0.32,1.9,0.066,36,0.9936,3.41,0.56,12.6,6
"1028",7.2,0,2.2,0.065,52,0.9938,3.49,0.52,11.6,5
"1029",7.54,0.21,2.5,0.075,68,0.9959,3.37,0.54,10.1,6
"1030",8.28,0.01,1.8,0.088,18,0.9957,3.32,0.56,10.5,7
"1031",7.69,0,2.1,0.091,14,0.9949,3.42,0.55,11.5,7
"1032",7.85,0.01,1.8,0.093,15,0.9951,3.35,0.58,11,7
"1034",8.07,0.08,2.6,0.089,27,0.9959,3.3,0.59,10.4,6
"1035",9.64,0.18,2.5,0.077,48,0.9974,3.2,0.47,9.7,6
"1036",10.47,0.34,2.4,0.085,17,0.9968,3.17,0.65,10.6,7
"1037",7.91,0.34,2.5,0.082,35,0.9936,3.22,0.59,12.5,7
"1038",8.21,0.1,1.8,0.074,56,0.9967,3.35,0.56,9.2,5
"1040",9.4,0.21,2.2,0.088,39,0.9969,3.33,0.83,11.1,6
"1041",8.37,0,2.2,0.088,32,0.9976,3.58,0.67,10.2,5
"1042",7.39,0.19,1.7,0.079,26,0.9955,3.38,0.64,9.8,6
"1043",9.4,0.21,2.2,0.088,39,0.9969,3.33,0.83,11.1,6
"1045",6.79,0.33,3.3,0.046,53,0.9929,3.36,0.62,12.2,6
"1046",7.34,0,1.4,0.07,38,0.9944,3.32,0.58,11.4,6
"1047",8.38,0,1.7,0.076,45,0.9961,3.31,0.62,10.7,6
"1048",7.53,0.17,1.8,0.082,51,0.9963,3.49,0.64,10.4,5
"1049",9.79,0.36,1.7,0.081,14,0.997,3.27,0.78,10.9,6
"1050",9.8,0.36,1.8,0.084,17,0.997,3.27,0.77,10.8,6
"1051",7.53,0.17,1.8,0.082,51,0.9963,3.49,0.64,10.4,5
"1053",6.21,0.05,2.4,0.073,25,0.9926,3.56,0.55,12.9,5
"1054",8.63,0.42,2.3,0.07,20,0.9943,3.38,0.77,12.7,7
"1055",8.84,0.27,2,0.095,77,0.9975,3.13,0.62,9.1,6
"1056",8.84,0.27,2,0.095,77,0.9975,3.13,0.62,9.1,6
"1059",10.43,0.57,2.4,0.093,52,0.9971,3.19,0.76,11.6,7
"1061",11.83,0.57,1.8,0.074,8,0.9981,3.14,0.7,9.9,6
"1062",9.5,0.5,1.8,0.071,16,0.9946,3.21,0.69,12.5,8
"1063",8.38,0.44,1.9,0.098,15,0.9956,3.3,0.64,11.4,6
"1064",10.49,0.65,2.4,0.075,17,0.9956,3.22,0.63,11.8,6
"1065",8.94,0.09,2,0.067,10,0.9942,3.28,0.57,11.8,6
"1066",8.31,0.18,2.4,0.083,20,0.9963,3.29,0.6,10.2,6
"1067",7.12,0.08,2.4,0.07,26,0.9936,3.4,0.72,12.5,7
"1068",11.41,0.53,2.2,0.06,10,0.9957,3.02,0.83,10.9,7
"1069",11.41,0.53,2.2,0.06,10,0.9957,3.02,0.83,10.9,7
"1070",8.62,0.35,2.8,0.086,52,0.997,3.31,0.62,10.8,5
"1071",9.63,0.45,1.5,0.057,37,0.995,3.18,0.89,11.1,7
"1073",7.55,0.26,1.8,0.083,75,0.9968,3.4,0.58,9.5,6
"1074",8.62,0.33,2.7,0.088,37,0.9972,3.31,0.58,10.7,6
"1076",9.35,0.34,2,0.071,67,0.9977,3.44,0.86,10.2,7
"1077",10.22,0.56,2,0.073,8,0.9953,3.15,0.73,11.4,6
"1081",10.57,0.56,1.4,0.047,8,0.9947,3.16,0.51,11.8,6
"1083",7.58,0.3,1.8,0.073,70,0.9968,3.42,0.59,9.5,6
"1084",9.12,0.45,2.4,0.072,59,0.9962,3.33,0.77,12,6
"1085",7.58,0.3,1.8,0.073,70,0.9968,3.42,0.59,9.5,6
"1086",7.28,0.08,1.8,0.074,64,0.9953,3.12,0.49,9.6,5
"1088",8.09,0.42,1.6,0.057,30,0.994,3.29,0.69,11.2,6
"1089",12.01,0.54,1.5,0.095,41,0.9974,3.02,0.76,9.9,7
"1090",12.01,0.54,1.5,0.095,41,0.9974,3.02,0.76,9.9,7
"1091",10.26,0.54,1.9,0.083,74,0.9945,2.98,0.63,11.8,8
"1092",8.24,0.42,2,0.086,19,0.9955,3.35,0.6,11.4,6
"1093",7.54,0.09,2,0.081,16,0.9948,3.43,0.59,11.5,6
"1094",9.51,0.36,2.2,0.079,31,0.9962,3.33,0.86,12,7
"1096",9.8,0.47,2.5,0.087,20,0.9977,3.15,0.5,10.5,5
"1098",9.12,0.38,1.5,0.096,18,0.9967,3.2,0.52,9.4,5
"1100",9.12,0.38,1.5,0.096,18,0.9967,3.2,0.52,9.4,5
"1101",8.74,0.42,2.1,0.072,36,0.9939,3.11,0.78,12.4,6
"1102",7.89,0.27,2.1,0.071,25,0.9939,3.35,0.63,12,6
"1103",6.58,0.09,1.7,0.078,30,0.994,3.45,0.54,11.2,6
"1104",7.89,0.27,2.1,0.071,25,0.9939,3.35,0.63,12,6
"1105",8.48,0.34,2.2,0.073,25,0.9936,3.28,0.66,12.4,6
"1106",6.87,0.28,2.1,0.048,49,0.9937,3.41,0.6,12.8,5
"1107",8.43,0.42,1.9,0.069,17,0.9938,3.21,0.54,12.3,6
"1108",9.4,0.41,2,0.068,24,0.9952,3.27,0.85,11.7,7
"1109",8.88,0.1,3.3,0.09,13,0.9986,3.36,0.49,9.5,5
"1111",8.83,0,1.4,0.07,14,0.9959,3.25,0.64,10,6
"1113",8.23,0.41,1.5,0.056,35,0.994,3.29,0.71,11,6
"1114",9.14,0.39,1.6,0.074,10,0.997,3.12,0.59,9.5,6
"1116",7.69,0.07,2.5,0.091,21,0.9957,3.38,0.6,11.3,6
"1117",7.69,0.07,2.5,0.091,21,0.9957,3.38,0.6,11.3,6
"1118",7.69,0.07,2.5,0.091,21,0.9957,3.38,0.6,11.3,6
"1120",6.26,0,2.5,0.066,15,0.9926,3.52,0.58,12.9,5
"1121",8.44,0.34,2.5,0.076,17,0.9924,3.2,0.72,13.1,8
"1122",7.1,0,1.8,0.062,28,0.9935,3.44,0.55,12.3,6
"1124",11.1,0.37,1.9,0.081,29,0.9967,3.12,0.65,11.2,6
"1125",7.08,0,2.2,0.096,13,0.9956,3.62,0.62,11.5,4
"1126",9.04,0.35,1.7,0.055,27,0.9939,3.14,0.59,11.3,7
"1128",7.06,0,2.9,0.072,52,0.9938,3.51,0.6,11.5,6
"1129",10.43,0.33,2.7,0.095,89,0.9984,3.22,0.68,10,5
"1130",10.93,0.35,3.3,0.092,70,0.998,3.21,0.69,10.5,6
"1131",9.7,0,1.9,0.058,10,0.9977,3.18,0.63,10.4,6
"1135",8.78,0.35,1.7,0.061,15,0.9952,3.3,0.74,11.8,7
"1136",8.25,0.43,1.7,0.067,50,0.9946,3.38,0.6,11.9,6
"1137",10.92,0.45,2,0.08,13,0.9977,3.22,0.76,11.4,6
"1138",10.92,0.45,2,0.08,13,0.9977,3.22,0.76,11.4,6
"1140",8.71,0.24,2,0.079,86,0.9976,3.34,0.64,9.5,6
"1141",7.7,0.3,1.7,0.08,79,0.9969,3.41,0.65,9.5,6
"1142",8.58,0.32,2.5,0.08,71,0.9962,3.27,0.85,11,6
"1143",7.35,0.11,2.4,0.043,12,0.9935,3.3,0.65,11.4,6
"1144",7.22,0.3,1.8,0.065,20,0.9967,3.61,0.82,10,6
"1145",7.62,0.23,2.3,0.066,70,0.9959,3.43,0.62,10.1,5
"1146",8.4,0.43,2.5,0.076,51,0.9967,3.53,0.81,10.4,6
"1149",8.19,0.42,2,0.086,21,0.9953,3.39,0.66,11.6,6
"1150",10.35,0.47,2,0.061,11,0.9958,3.23,0.52,12,6
"1151",8.53,0.32,2.8,0.067,12,0.9947,3.3,0.76,12.8,7
"1152",6.68,0.23,2.5,0.044,70,0.9935,3.46,0.65,12.5,6
"1154",10.02,0.35,2.1,0.083,38,0.9962,3.23,0.66,11.1,6
"1155",7.18,0,2.2,0.1,63,0.9954,3.59,0.68,11.4,6
"1157",8.68,0.51,1.75,0.071,88,0.9952,3.33,0.76,11.8,7
"1158",5.61,0.18,2.1,0.042,101,0.9924,3.46,0.87,12.9,7
"1160",10.61,0.43,2.2,0.11,37,0.9973,3.16,0.67,10.8,5
"1161",10.96,0.57,2.3,0.087,20,0.9968,3.14,0.72,11.1,7
"1162",9.25,0.43,1.4,0.076,21,0.9955,3.21,0.75,10.2,6
"1163",8.82,0.42,2.3,0.075,19,0.9943,3.14,0.71,11.8,7
"1164",9.79,0.24,1.7,0.078,21,0.9969,3.29,0.67,10,5
"1165",9.79,0.24,1.7,0.078,21,0.9969,3.29,0.67,10,5
"1168",8.53,0.39,2.5,0.074,48,0.9953,3.32,0.88,12.4,7
"1169",6.84,0.27,2.8,0.067,44,0.9938,3.21,0.56,12,6
"1170",8.1,0.29,2.3,0.086,14,0.995,3.32,0.62,11.5,6
"1171",9.56,0.34,1.6,0.062,12,0.9967,3.2,0.67,10.5,6
"1172",7.69,0,2.2,0.078,44,0.9952,3.42,0.68,10.8,6
"1173",10.12,0.46,2.1,0.074,16,0.9965,3.27,0.74,12.3,6
"1174",7.96,0.31,1.7,0.079,65,0.9972,3.46,0.62,9.5,6
"1175",7.96,0.31,1.7,0.079,65,0.9972,3.46,0.62,9.5,6
"1176",7.11,0,2.2,0.095,59,0.9954,3.61,0.7,11.5,6
"1178",7.76,0,2.4,0.052,11,0.9932,3.35,0.66,12.7,7
"1180",8.55,0.33,2.4,0.076,47,0.996,3.27,0.81,11,6
"1181",8.55,0.33,2.4,0.076,47,0.996,3.27,0.81,11,6
"1182",10.19,0.43,1.65,0.068,11,0.9948,3.19,0.46,11.4,5
"1183",10.6,0.4,2.5,0.068,54,0.9975,3.38,0.86,10.5,6
"1184",7.46,0.07,1.6,0.07,61,0.9957,3.29,0.6,9.3,5
"1186",7.43,0.3,2,0.085,39,0.9935,3.33,0.46,11.9,6
"1188",7.43,0.3,2,0.085,39,0.9935,3.33,0.46,11.9,6
"1190",9.76,0.05,1.8,0.075,19,0.9962,3.3,0.44,9.6,4
"1193",7.45,0.37,2.5,0.063,41,0.9944,3.52,0.8,12.4,7
"1195",7.75,0.12,1.8,0.114,64,0.9959,3.22,0.59,9.5,6
"1196",6.63,0.22,1.8,0.078,56,0.9963,3.52,0.6,9.5,6
"1197",8.48,0.23,2.3,0.076,94,0.9969,3.21,0.58,9.5,6
"1198",8.27,0.21,1.5,0.069,9,0.9946,3.16,0.54,9.8,6
"1199",7.96,0.26,2,0.052,77,0.9951,3.15,0.79,10.9,6
"1200",8.48,0.23,2.3,0.076,94,0.9969,3.21,0.58,9.5,6
"1201",8.27,0.21,1.5,0.069,9,0.9946,3.16,0.54,9.8,6
"1202",8.24,0.36,1.9,0.065,10,0.9942,3.27,0.54,11.2,7
"1203",9.02,0.39,1.8,0.068,12,0.9952,3.35,0.69,11.7,8
"1205",7.56,0.46,2.1,0.074,44,0.9953,3.4,0.85,11,7
"1206",7.56,0.46,2.1,0.074,44,0.9953,3.4,0.85,11,7
"1207",7.56,0.46,2.1,0.074,44,0.9953,3.4,0.85,11,7
"1209",7.56,0.46,2.1,0.074,44,0.9953,3.4,0.85,11,7
"1210",6.59,0.43,2,0.071,24,0.9943,3.45,0.87,11.2,7
"1211",7.45,0.02,2.1,0.078,15,0.995,3.35,0.62,10.4,6
"1212",7.04,0.15,2.1,0.076,53,0.9957,3.32,0.62,9.3,5
"1213",7.45,0.02,2.1,0.078,15,0.995,3.35,0.62,10.4,6
"1214",9.98,0.42,1.9,0.071,13,0.9966,3.15,0.75,10.5,6
"1215",10.53,0.46,1.9,0.081,9,0.9963,3.1,0.48,10.4,6
"1216",9.07,0.46,2.1,0.095,29,0.9949,3.26,0.56,11.3,6
"1217",8.47,0.31,2,0.079,79,0.9968,3.29,0.69,9.5,6
"1218",8.54,0.37,1.9,0.057,74,0.9941,3.23,0.81,12,6
"1219",8.6,0.31,1.9,0.082,24,0.996,3.24,0.69,10.6,6
"1220",9.39,0.4,1.3,0.044,50,0.9948,3.2,0.83,10.9,6
"1223",8.63,0.22,2.2,0.078,89,0.9968,3.26,0.46,9.6,6
"1224",10.86,0.47,2.2,0.074,23,0.9964,3.23,0.76,12,6
"1226",9.66,0.23,2.6,0.091,77,0.9992,3.15,0.51,9.4,5
"1228",9.58,0.25,2,0.104,21,0.9977,3.27,0.72,9.6,5
"1230",8.03,0.29,2.1,0.075,66,0.9972,3.4,0.64,9.5,5
"1231",7.88,0.34,2.7,0.066,58,0.9947,3.37,0.78,11.8,6
"1232",8.62,0.01,2.6,0.074,90,0.9962,3.38,0.62,10.8,5
"1233",8.03,0.29,2.1,0.075,66,0.9972,3.4,0.64,9.5,5
"1234",10.43,0.37,2.2,0.057,36,0.9961,3.23,0.49,9.3,4
"1235",7.85,0.01,2.2,0.059,18,0.9924,3.39,0.4,12.8,6
"1237",8.35,0,1.7,0.07,17,0.9966,3.26,0.64,9.4,6
"1238",7.85,0.01,2.2,0.059,18,0.9924,3.39,0.4,12.8,6
"1239",8.83,0,2.5,0.081,24,0.998,3.38,0.46,9.6,4
"1241",8.11,0.2,1.7,0.076,60,0.9949,3.1,0.4,9.3,5
"1242",10.17,0.39,2.5,0.079,65,0.9973,3.16,0.59,9.8,5
"1243",9.4,0.41,2,0.058,40,0.9941,3.22,0.6,12.2,6
"1244",8.86,0.22,2.4,0.082,86,0.9983,3.37,0.62,9.5,5
"1246",7.95,0.19,1.8,0.082,34,0.9966,3.49,0.68,10.5,5
"1247",8.14,0.07,1.7,0.086,48,0.995,3.12,0.48,10,5
"1248",7.95,0.19,1.8,0.082,34,0.9966,3.49,0.68,10.5,5
"1249",7.31,0.33,2.2,0.081,36,0.9949,3.41,0.75,11.1,6
"1250",7.7,0.01,2.3,0.079,37,0.9951,3.4,0.61,10.9,6
"1251",7.7,0.01,2.3,0.079,37,0.9951,3.4,0.61,10.9,6
"1252",8.08,0.14,2.2,0.077,60,0.9963,3.28,0.59,9.8,5
"1254",8.56,0,1.4,0.096,13,0.9957,3.43,0.58,9.5,5
"1255",8.5,0.06,1.9,0.079,35,0.9963,3.4,0.69,10.9,5
"1256",6.74,0.02,2.4,0.069,46,0.9936,3.47,0.45,11,5
"1257",8.09,0.22,1.8,0.082,60,0.995,3.1,0.42,9.2,5
"1262",7.32,0,2,0.083,24,0.9944,3.59,0.55,11.2,4
"1263",10.25,0.38,2.5,0.081,66,0.9973,3.15,0.58,9.8,5
"1264",8.98,0,2.2,0.089,26,0.9978,3.37,0.46,9.6,4
"1265",8.87,0.32,1.8,0.066,51,0.9946,3.38,0.72,11.8,6
"1266",7.77,0.05,2.3,0.081,36,0.9956,3.38,0.6,10.3,6
"1267",7.77,0.05,2.3,0.081,36,0.9956,3.38,0.6,10.3,6
"1268",10.83,0.5,2.3,0.068,19,0.996,3.1,0.87,11.4,6
"1269",7.31,0.31,2,0.079,51,0.9967,3.47,0.55,9.5,6
"1272",7.74,0.2,1.6,0.049,64,0.9935,3.38,0.57,11.7,6
"1273",6.36,0,1.9,0.077,44,0.9938,3.5,0.53,11.2,5
"1274",8.08,0.2,2,0.073,44,0.9949,3.1,0.43,9.3,5
"1275",8.38,0.13,2.1,0.102,36,0.9944,3.24,0.53,11.2,6
"1276",8.71,0.22,2.3,0.075,81,0.9969,3.24,0.54,9.5,6
"1278",7.69,0,1.9,0.114,10,0.9964,3.35,0.6,9.7,6
"1279",8.71,0.22,2.3,0.075,81,0.9969,3.24,0.54,9.5,6
"1280",10.1,0.39,1.7,0.062,9,0.9948,3.14,0.57,11.5,7
"1281",7.56,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
"1282",7.56,0.2,1.9,0.077,54,0.9956,3.37,0.64,10.4,6
"1283",8.67,0,2,0.084,22,0.9962,3.33,0.68,10.9,6
"1284",9.33,0.28,2.7,0.096,69,0.9973,3.26,0.63,10.2,6
"1285",7.42,0.19,2.3,0.071,36,0.9948,3.39,0.56,10.9,5
"1286",11.67,0.5,1.8,0.09,47,0.9973,3.15,0.57,10.5,5
"1287",7.26,0.44,2.5,0.068,31,0.9933,3.35,0.54,12.4,6
"1288",8.6,0.08,2.6,0.056,7,0.9929,3.22,0.37,13,5
"1291",8.34,0,1.9,0.1,12,0.9952,3.36,0.59,11,5
"1292",8.83,0.1,2.1,0.073,60,0.9964,3.29,0.75,10.9,6
"1293",6.29,0.13,2.4,0.056,28,0.9936,3.62,0.67,12.4,6
"1294",8.26,0,1.9,0.084,12,0.9967,3.34,0.49,9.7,4
"1295",8.83,0.1,2.1,0.073,60,0.9964,3.29,0.75,10.9,6
"1298",7.73,0.14,2.1,0.064,29,0.9932,3.35,0.61,12.1,6
"1302",7.56,0.07,2,0.1,57,0.996,3.6,0.74,11.7,6
"1303",9.47,0.32,2.1,0.064,15,0.9958,3.3,0.8,11.2,6
"1304",8.28,0.44,1.8,0.081,68,0.995,3.36,0.66,11.2,5
"1305",8.39,0.21,2.3,0.087,68,0.9955,3.12,0.44,9.2,5
"1306",8.11,0.26,1.9,0.073,88,0.9961,3.3,0.53,9.8,5
"1307",10.39,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
"1309",10.39,0.32,2.5,0.088,91,0.9979,3.29,0.62,10.1,5
"1310",7.62,0.1,1.4,0.071,63,0.996,3.28,0.61,9.2,5
"1311",8.11,0.26,1.9,0.073,88,0.9961,3.3,0.53,9.8,5
"1312",7.01,0.15,3,0.064,27,0.9929,3.33,0.59,12.8,6
"1313",9.18,0.21,1.9,0.083,41,0.9953,3.34,0.47,10.5,5
"1314",7.36,0.21,2.3,0.086,65,0.9956,3.4,0.54,10.1,6
"1315",7.36,0.21,2.4,0.086,69,0.9956,3.4,0.53,10.1,6
"1316",8.13,0.27,2,0.083,91,0.9962,3.26,0.58,9.8,6
"1318",10.34,0.46,2.2,0.091,41,0.9964,3.18,0.69,11.9,6
"1319",8.13,0.27,2,0.083,91,0.9962,3.26,0.58,9.8,6
"1321",10.36,0.34,2.6,0.094,88,0.998,3.26,0.66,10.1,5
"1323",9.44,0.42,1.8,0.058,18,0.9939,3.18,0.55,11.4,5
"1324",9.46,0.39,1.8,0.06,55,0.995,3.18,0.82,11,7
"1325",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1326",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1327",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1328",7.16,0.24,1.7,0.077,34,0.9948,3.39,0.6,10.6,6
"1329",7.02,0.11,1.8,0.073,38,0.9955,3.34,0.52,9.3,5
"1330",8,0.26,2.1,0.083,91,0.9962,3.29,0.56,9.8,6
"1331",8,0.26,2.1,0.083,91,0.9962,3.29,0.56,9.8,6
"1333",8.79,0.1,1.7,0.075,25,0.9958,3.09,0.43,9.7,6
"1334",9.88,0.22,2.2,0.079,48,0.9976,3.18,0.51,9.6,5
"1336",7.18,0.02,2.4,0.069,40,0.9939,3.38,0.66,12.6,6
"1337",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1338",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1339",6.5,0,1.4,0.057,26,0.9945,3.36,0.45,9.5,5
"1340",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1341",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1342",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1343",8.14,0.02,1.7,0.085,31,0.9959,3.37,0.51,10.4,6
"1344",8.01,0.02,1.7,0.084,31,0.9954,3.36,0.54,10.5,6
"1345",11.92,0.48,2.6,0.077,20,0.9985,3.09,0.53,11,5
"1346",8.64,0.24,2.3,0.063,28,0.9961,3.25,0.53,10.2,6
"1347",6.69,0.01,2.1,0.056,13,0.9947,3.52,0.56,11.4,5
"1348",7.86,0.03,1.8,0.078,12,0.9959,3.34,0.39,9.5,5
"1349",7.86,0.03,1.8,0.078,12,0.9959,3.34,0.39,9.5,5
"1350",7.47,0,2.8,0.081,41,0.9952,3.41,0.52,10.8,5
"1351",9.6,0.29,2,0.069,73,0.9965,3.34,0.57,10,5
"1352",7.82,0.01,2.3,0.065,46,0.9933,3.32,0.51,11.8,6
"1353",8.24,0.03,1.9,0.086,57,0.9969,3.37,0.46,10.3,5
"1354",8.24,0.03,1.9,0.086,57,0.9969,3.37,0.46,10.3,5
"1355",7.78,0.03,2.3,0.077,28,0.9957,3.35,0.52,10,5
"1356",6.42,0.25,1.8,0.086,32,0.9946,3.36,0.44,10.1,5
"1357",6.44,0.25,1.8,0.084,28,0.9946,3.36,0.44,10.1,5
"1358",7.73,0.24,2.5,0.078,67,0.9965,3.6,0.59,11.1,6
"1360",12.07,0.4,1.4,0.091,28,0.997,3.07,0.65,10.0333333333333,6
"1361",9.74,0.31,2.3,0.112,38,0.997,3.24,0.56,10.9,5
"1362",9.15,0.14,2.5,0.093,54,0.9972,3.36,0.54,10.1,5
"1363",12.07,0.4,1.4,0.091,28,0.997,3.07,0.65,10.0333333333333,6
"1364",8.83,0.27,2,0.08,63,0.9965,3.29,0.48,9.8,4
"1365",7.8,0.02,1.9,0.096,31,0.995,3.46,0.53,11.8,6
"1366",8.3,0.09,2.2,0.115,42,0.9971,3.18,0.62,9.5,5
"1367",8.04,0.08,1.7,0.094,45,0.9958,3.24,0.5,9.8,5
"1369",8.77,0.32,2.1,0.079,74,0.9966,3.27,0.5,9.8,6
"1370",7.21,0,1.6,0.069,8,0.994,3.33,0.37,10.4,4
"1376",7.76,0.26,2,0.083,100,0.9959,3.26,0.52,9.9,5
"1377",9.08,0.2,1.4,0.086,31,0.9946,3.11,0.46,10,5
"1379",7.65,0.15,2,0.078,28,0.9961,3.29,0.51,9.9,6
"1380",8.07,0.02,2.6,0.077,35,0.9956,3.36,0.62,10.8,6
"1381",8.07,0.02,2.6,0.077,35,0.9956,3.36,0.62,10.8,6
"1382",7.63,0.09,1.8,0.074,25,0.9953,3.38,0.45,9.6,5
"1383",8.6,0.22,2.1,0.08,105,0.9961,3.3,0.49,9.9,5
"1384",8.6,0.22,2.1,0.08,105,0.9961,3.3,0.49,9.9,5
"1385",7.85,0.15,1.8,0.107,84,0.9959,3.19,0.5,9.5,5
"1386",8.81,0.25,3.4,0.076,85,0.9967,3.19,0.42,9.2,5
"1387",8.04,0.07,1.8,0.1,23,0.9961,3.3,0.58,9.6,5
"1388",8.04,0.07,1.8,0.1,23,0.9961,3.3,0.58,9.6,5
"1390",7.18,0.02,2.2,0.08,111,0.9952,3.1,0.53,9.7,5
"1391",6.49,0,2.3,0.068,33,0.9929,3.58,0.59,12.5,6
"1392",8.64,0.22,2.4,0.094,33,0.9961,3.37,0.58,11,5
"1393",7.72,0.06,1.3,0.07,12,0.9942,3.17,0.48,9.8,5
"1394",8.52,0.25,2,0.078,59,0.9961,3.3,0.48,10.2,5
"1396",9.29,0.1,1.6,0.092,12,0.9974,3.31,0.65,9.55,6
"1397",9.38,0.1,1.6,0.09,11,0.9974,3.31,0.65,9.55,5
"1398",7.89,0.26,2,0.08,104,0.9958,3.28,0.52,9.9,5
"1399",7.6,0.12,2.2,0.083,28,0.9966,3.52,0.62,10.2,7
"1400",7.87,0,2.2,0.068,24,0.9956,3.42,0.72,11.1,6
"1403",7.9,0.42,2,0.052,24,0.9963,3.44,0.82,11.9,6
"1405",8.5,0.39,2.6,0.082,46,0.9985,3.43,0.62,10.7,6
"1406",7.98,0.3,2,0.062,34,0.9952,3.28,0.9,11.3,7
"1408",6.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,6
"1410",6.51,0,2.1,0.064,54,0.995,3.54,0.93,10.7,6
"1411",7.56,0,1.8,0.082,16,0.9936,3.5,0.44,11.9,6
"1412",6.87,0.4,2.4,0.071,19,0.9963,3.56,0.73,10.6,6
"1414",10.47,0.25,2,0.104,89,0.9963,3.04,0.9,10.1,5
"1415",10.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
"1416",6.78,0,1.6,0.065,18,0.9966,3.56,0.84,9.4,5
"1417",10.32,0.59,2.2,0.077,15,0.9994,3.2,0.78,9.6,5
"1418",7.64,0.33,2.5,0.064,37,0.9952,3.35,0.77,12.1,7
"1419",8.33,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,5
"1421",8.33,0.01,1.6,0.077,19,0.995,3.16,0.46,9.8,5
"1422",7.9,0.18,1.6,0.079,58,0.9965,3.34,0.58,9.4,5
"1423",7.54,0,2.1,0.079,55,0.9956,3.39,0.84,11.4,6
"1425",8.56,0.37,1.4,0.076,23,0.9974,3.26,0.7,9.6,6
"1426",8.56,0.37,1.4,0.076,23,0.9974,3.26,0.7,9.6,6
"1427",7.93,0.37,1.8,0.046,60,0.9971,3.41,0.71,12.1,6
"1428",8.01,0.33,2.5,0.078,23,0.9957,3.3,0.58,11.2,5
"1429",8.44,0,1.9,0.072,55,0.9962,3.31,0.63,11,5
"1430",8.08,0.4,2.2,0.049,67,0.996,3.33,0.93,11.3,5
"1431",7.81,0.24,1.8,0.066,47,0.9956,3.37,0.62,10.4,5
"1432",8.03,0.31,2.1,0.069,74,0.9958,3.26,0.54,9.9,6
"1433",6.34,0,1.6,0.042,11,0.9944,3.48,0.85,11.7,6
"1434",6.5,0.16,1.8,0.069,25,0.9955,3.42,0.74,10.1,7
"1439",7.59,0,1.7,0.052,8,0.996,3.41,0.47,10.3,5
"1440",7.97,0.02,2.2,0.072,92,0.9957,3.32,0.68,11.0666666666667,6
"1441",7.57,0.32,2,0.062,28,0.9947,3.23,0.73,11.3,7
